trainerID,name,level,type
60,Roselia,32,Grass
61,Pelipper,35,Water
61,Camerupt,35,Fire
61,Roselia,35,Grass
62,Mawile,43,Steel
62,Sableye,43,Dark
63,Swellow,29,Normal
63,Trapinch,29,Ground
63,Wailmer,29,Water
63,Magneton,29,Electric
63,Shiftry,29,Grass
64,Cacturne,44,Grass
65,Lairon,45,Steel
65,Manectric,45,Electric
66,Linoone,27,Normal
67,Roselia,44,Grass
68,Milotic,31,Water
69,Zangoose,27,Normal
70,Sandslash,43,Ground
70,Ninetales,43,Fire
71,Mawile,46,Steel
71,Starmie,46,Water
72,Linoone,27,Normal
73,Delcatty,27,Normal
74,Nosepass,42,Rock
74,Medicham,42,Fighting
74,Ludicolo,42,Water
75,Kecleon,42,Normal
75,Rhyhorn,42,Ground
75,Tentacruel,42,Water
76,Linoone,27,Normal
77,Delcatty,27,Normal
78,Shiftry,34,Grass
78,Graveler,34,Rock
78,Loudred,34,Normal
79,Dodrio,42,Normal
79,Lairon,42,Steel
79,Kadabra,42,Psychic
80,Claydol,44,Ground
81,Sableye,44,Dark
81,Medicham,44,Fighting
81,Sharpedo,44,Water
82,Swellow,42,Normal
82,Kadabra,42,Psychic
82,Manectric,42,Electric
82,Shiftry,42,Grass
83,Graveler,34,Rock
83,Magcargo,34,Fire
83,Ludicolo,34,Water
84,Mawile,31,Steel
84,Roselia,31,Grass
84,Pelipper,31,Water
85,Electrike,18,Electric
85,Wailmer,18,Water
85,Makuhita,18,Fighting
86,Electrike,26,Electric
86,Wailmer,26,Water
86,Makuhita,26,Fighting
87,Manectric,29,Electric
87,Wailmer,29,Water
87,Makuhita,29,Fighting
88,Manectric,32,Electric
88,Wailmer,32,Water
88,Makuhita,32,Fighting
89,Manectric,35,Electric
89,Wailmer,35,Water
89,Hariyama,35,Fighting
90,Kecleon,24,Normal
91,Magneton,43,Electric
91,Muk,43,Poison
92,Gloom,34,Grass
92,Azumarill,34,Water
93,Wigglytuff,26,Normal
94,Manectric,32,Electric
94,Linoone,32,Normal
95,Vigoroth,26,Normal
96,Swellow,28,Normal
96,Trapinch,28,Ground
96,Wailmer,28,Water
96,Magneton,28,Electric
96,Shiftry,28,Grass
97,Wingull,17,Water
97,Numel,17,Fire
97,Roselia,17,Grass
98,Wingull,26,Water
98,Numel,26,Fire
98,Roselia,26,Grass
99,Pelipper,29,Water
99,Numel,29,Fire
99,Roselia,29,Grass
100,Pelipper,32,Water
100,Numel,32,Fire
100,Roselia,32,Grass
101,Pelipper,34,Water
101,Camerupt,34,Fire
101,Roselia,34,Grass
102,Manectric,24,Electric
102,Swellow,24,Normal
102,Manectric,24,Electric
103,Skarmory,43,Steel
103,Sableye,43,Dark
104,Loudred,29,Normal
104,Vigoroth,29,Normal
105,Loudred,35,Normal
105,Vigoroth,35,Normal
106,Spinda,37,Normal
106,Loudred,37,Normal
106,Vigoroth,37,Normal
107,Spinda,39,Normal
107,Loudred,39,Normal
107,Vigoroth,39,Normal
108,Spinda,41,Normal
108,Exploud,41,Normal
108,Slaking,41,Normal
109,Pelipper,33,Water
109,Camerupt,33,Fire
110,Claydol,43,Ground
110,Lanturn,43,Water
111,Cacturne,43,Grass
111,Pelipper,43,Water
112,Medicham,43,Fighting
112,Claydol,43,Ground
113,Slakoth,26,Normal
114,Kecleon,23,Normal
115,Sableye,43,Dark
115,Absol,43,Dark
116,Roselia,45,Grass
117,Absol,27,Dark
118,Sableye,30,Dark
119,Zangoose,26,Normal
120,Kecleon,33,Normal
120,Loudred,33,Normal
121,Sandslash,42,Ground
121,Ninetales,42,Fire
121,Tropius,42,Grass
122,Gardevoir,43,Psychic
122,Slaking,43,Normal
123,Lairon,45,Steel
123,Manectric,45,Electric
124,Manectric,30,Electric
125,Mawile,46,Steel
125,Starmie,46,Water
126,Manectric,29,Electric
126,Shiftry,29,Grass
127,Manectric,34,Electric
128,Delcatty,26,Normal
129,Torkoal,42,Fire
129,Medicham,42,Fighting
129,Ludicolo,42,Water
130,Lunatone,43,Rock
130,Solrock,43,Rock
131,Kecleon,42,Normal
131,Graveler,42,Rock
131,Wailord,42,Water
132,Spinda,26,Normal
133,Slaking,43,Normal
133,Dusclops,43,Ghost
134,Swellow,26,Normal
135,Shiftry,34,Grass
135,Nosepass,34,Rock
136,Swellow,42,Normal
136,Mawile,42,Steel
136,Kadabra,42,Psychic
137,Claydol,45,Ground
138,Sableye,44,Dark
138,Medicham,44,Fighting
138,Sharpedo,44,Water
139,Dodrio,42,Normal
139,Kadabra,42,Psychic
139,Electrode,42,Electric
139,Shiftry,42,Grass
140,Graveler,33,Rock
140,Ludicolo,33,Water
141,Mawile,29,Steel
141,Roselia,29,Grass
141,Pelipper,29,Water
142,Electrike,17,Electric
142,Wailmer,17,Water
142,Makuhita,17,Fighting
143,Electrike,26,Electric
143,Wailmer,26,Water
143,Makuhita,26,Fighting
144,Manectric,29,Electric
144,Wailmer,29,Water
144,Makuhita,29,Fighting
145,Manectric,32,Electric
145,Wailmer,32,Water
145,Makuhita,32,Fighting
146,Manectric,35,Electric
146,Wailmer,35,Water
146,Hariyama,35,Fighting
147,Smeargle,60,Normal
148,Smeargle,30,Normal
149,Wailord,57,Water
149,Vileplume,57,Grass
150,Armaldo,47,Rock
150,Cradily,47,Rock
151,Armaldo,56,Rock
151,Cradily,56,Rock
152,Carvanha,21,Water
152,Numel,21,Fire
153,Sandslash,46,Ground
153,Ninetales,46,Fire
154,Smeargle,60,Normal
155,Smeargle,30,Normal
156,Wailord,57,Water
156,Vileplume,57,Grass
157,Armaldo,47,Rock
157,Cradily,47,Rock
158,Armaldo,56,Rock
158,Cradily,56,Rock
159,Carvanha,21,Water
159,Numel,21,Fire
160,Sandslash,46,Ground
160,Ninetales,46,Fire
161,Weepinbell,24,Grass
161,Gloom,24,Grass
161,Ivysaur,24,Grass
162,Nidorino,39,Poison
162,Nidoking,39,Poison
163,Sandslash,39,Ground
163,Dugtrio,39,Ground
164,Rhyhorn,43,Ground
165,Persian,44,Normal
165,Ninetales,44,Fire
166,Ivysaur,42,Grass
166,Wartortle,42,Water
166,Charmeleon,42,Fire
166,Charizard,42,Fire
167,Exeggutor,43,Grass
167,Cloyster,43,Water
167,Arcanine,43,Fire
168,Parasect,43,Bug
168,Dewgong,43,Water
168,Chansey,43,Normal
169,Kingler,43,Water
169,Tentacruel,43,Water
169,Blastoise,43,Water
170,Bellsprout,43,Grass
170,Weepinbell,43,Grass
170,Victreebel,43,Grass
171,Ivysaur,24,Grass
171,Charmeleon,24,Fire
171,Wartortle,24,Water
172,Charmeleon,27,Fire
173,Rapidash,36,Fire
174,Rapidash,39,Fire
175,Rapidash,43,Fire
176,Magneton,33,Electric
176,Quagsire,31,Water
176,Exeggcute,31,Grass
177,Sandslash,35,Ground
178,Horsea,33,Water
178,Horsea,33,Water
178,Horsea,33,Water
179,Electrode,35,Electric
179,Starmie,35,Water
179,Ninetales,35,Fire
180,Horsea,34,Water
180,Seadra,36,Water
181,Butterfree,25,Bug
181,Bellossom,25,Grass
182,Dragonair,37,Dragon
183,Poliwhirl,28,Water
184,Seadra,37,Water
185,Victreebel,32,Grass
185,Kingler,32,Water
185,Flareon,32,Fire
186,Victreebel,35,Grass
186,Kingler,35,Water
186,Flareon,35,Fire
187,Victreebel,39,Grass
187,Kingler,39,Water
187,Flareon,39,Fire
188,Eevee,26,Normal
188,Vaporeon,22,Water
188,Jolteon,22,Electric
188,Flareon,22,Fire
189,Goldeen,22,Water
189,Seaking,24,Water
190,Parasect,33,Bug
190,Golduck,35,Water
191,Staryu,24,Water
191,Starmie,26,Water
192,Pikachu,36,Electric
192,Blastoise,32,Water
193,Shellder,26,Water
193,Cloyster,28,Water
194,Marill,27,Water
194,Wartortle,24,Water
194,Wartortle,24,Water
195,Rhyhorn,38,Ground
195,Charmeleon,35,Fire
195,Wartortle,35,Water
196,Skiploom,25,Grass
196,Ninetales,25,Fire
197,Dratini,34,Dragon
197,Dragonair,36,Dragon
198,Bulbasaur,32,Grass
198,Ivysaur,32,Grass
198,Venusaur,32,Grass
199,Dragonair,37,Dragon
200,Charmander,26,Fire
200,Bulbasaur,26,Grass
200,Squirtle,26,Water
201,Dratini,34,Dragon
201,Dratini,34,Dragon
201,Dratini,34,Dragon
202,Ivysaur,38,Grass
202,Starmie,38,Water
203,Starmie,31,Water
203,Starmie,31,Water
203,Nidoqueen,33,Poison
204,Starmie,34,Water
204,Starmie,34,Water
204,Nidoqueen,36,Poison
205,Starmie,37,Water
205,Starmie,37,Water
205,Nidoqueen,39,Poison
206,Pidgeot,25,Normal
206,Electabuzz,27,Electric
207,Flareon,35,Fire
207,Tangela,35,Grass
207,Tauros,35,Normal
208,Manectric,43,Electric
208,Muk,43,Poison
209,Gloom,35,Grass
209,Azumarill,35,Water
210,Zangoose,27,Normal
211,Wingull,18,Water
211,Numel,18,Fire
211,Roselia,18,Grass
212,Wingull,26,Water
212,Numel,26,Fire
212,Roselia,26,Grass
213,Pelipper,29,Water
213,Numel,29,Fire
213,Roselia,29,Grass
214,Pelipper,32,Water
214,Numel,32,Fire
214,Roselia,32,Grass
215,Pelipper,35,Water
215,Camerupt,35,Fire
215,Roselia,35,Grass
216,Mawile,43,Steel
216,Sableye,43,Dark
217,Swellow,29,Normal
217,Trapinch,29,Ground
217,Wailmer,29,Water
217,Magneton,29,Electric
217,Shiftry,29,Grass
218,Cacturne,44,Grass
219,Lairon,45,Steel
219,Manectric,45,Electric
220,Linoone,27,Normal
221,Roselia,44,Grass
222,Milotic,31,Water
223,Zangoose,27,Normal
224,Sandslash,43,Ground
224,Ninetales,43,Fire
225,Mawile,46,Steel
225,Starmie,46,Water
226,Linoone,27,Normal
227,Delcatty,27,Normal
228,Nosepass,42,Rock
228,Medicham,42,Fighting
228,Ludicolo,42,Water
229,Kecleon,42,Normal
229,Rhyhorn,42,Ground
229,Tentacruel,42,Water
230,Linoone,27,Normal
231,Delcatty,27,Normal
232,Shiftry,34,Grass
232,Graveler,34,Rock
232,Loudred,34,Normal
233,Dodrio,42,Normal
233,Lairon,42,Steel
233,Kadabra,42,Psychic
234,Claydol,44,Ground
235,Sableye,44,Dark
235,Medicham,44,Fighting
235,Sharpedo,44,Water
236,Swellow,42,Normal
236,Kadabra,42,Psychic
236,Manectric,42,Electric
236,Shiftry,42,Grass
237,Graveler,34,Rock
237,Magcargo,34,Fire
237,Ludicolo,34,Water
238,Mawile,31,Steel
238,Roselia,31,Grass
238,Pelipper,31,Water
239,Electrike,18,Electric
239,Wailmer,18,Water
239,Makuhita,18,Fighting
240,Electrike,26,Electric
240,Wailmer,26,Water
240,Makuhita,26,Fighting
241,Manectric,29,Electric
241,Wailmer,29,Water
241,Makuhita,29,Fighting
242,Manectric,32,Electric
242,Wailmer,32,Water
242,Makuhita,32,Fighting
243,Manectric,35,Electric
243,Wailmer,35,Water
243,Hariyama,35,Fighting
244,Kecleon,24,Normal
245,Magneton,43,Electric
245,Muk,43,Poison
246,Gloom,34,Grass
246,Azumarill,34,Water
247,Wigglytuff,26,Normal
248,Manectric,32,Electric
248,Linoone,32,Normal
249,Vigoroth,26,Normal
250,Swellow,28,Normal
250,Trapinch,28,Ground
250,Wailmer,28,Water
250,Magneton,28,Electric
250,Shiftry,28,Grass
251,Wingull,17,Water
251,Numel,17,Fire
251,Roselia,17,Grass
252,Wingull,26,Water
252,Numel,26,Fire
252,Roselia,26,Grass
253,Pelipper,29,Water
253,Numel,29,Fire
253,Roselia,29,Grass
254,Pelipper,32,Water
254,Numel,32,Fire
254,Roselia,32,Grass
255,Pelipper,34,Water
255,Camerupt,34,Fire
255,Roselia,34,Grass
256,Manectric,24,Electric
256,Swellow,24,Normal
256,Manectric,24,Electric
257,Skarmory,43,Steel
257,Sableye,43,Dark
258,Loudred,29,Normal
258,Vigoroth,29,Normal
259,Loudred,35,Normal
259,Vigoroth,35,Normal
260,Spinda,37,Normal
260,Loudred,37,Normal
260,Vigoroth,37,Normal
261,Spinda,39,Normal
261,Loudred,39,Normal
261,Vigoroth,39,Normal
262,Spinda,41,Normal
262,Exploud,41,Normal
262,Slaking,41,Normal
263,Pelipper,33,Water
263,Camerupt,33,Fire
264,Claydol,43,Ground
264,Lanturn,43,Water
265,Cacturne,43,Grass
265,Pelipper,43,Water
266,Medicham,43,Fighting
266,Claydol,43,Ground
267,Slakoth,26,Normal
268,Kecleon,23,Normal
269,Sableye,43,Dark
269,Absol,43,Dark
270,Roselia,45,Grass
271,Absol,27,Dark
272,Sableye,30,Dark
273,Zangoose,26,Normal
274,Kecleon,33,Normal
274,Loudred,33,Normal
275,Sandslash,42,Ground
275,Ninetales,42,Fire
275,Tropius,42,Grass
276,Gardevoir,43,Psychic
276,Slaking,43,Normal
277,Lairon,45,Steel
277,Manectric,45,Electric
278,Manectric,30,Electric
279,Mawile,46,Steel
279,Starmie,46,Water
280,Manectric,29,Electric
280,Shiftry,29,Grass
281,Manectric,34,Electric
282,Delcatty,26,Normal
283,Torkoal,42,Fire
283,Medicham,42,Fighting
283,Ludicolo,42,Water
284,Lunatone,43,Rock
284,Solrock,43,Rock
285,Kecleon,42,Normal
285,Graveler,42,Rock
285,Wailord,42,Water
286,Spinda,26,Normal
287,Slaking,43,Normal
287,Dusclops,43,Ghost
288,Swellow,26,Normal
289,Shiftry,34,Grass
289,Nosepass,34,Rock
290,Swellow,42,Normal
290,Mawile,42,Steel
290,Kadabra,42,Psychic
291,Claydol,45,Ground
292,Sableye,44,Dark
292,Medicham,44,Fighting
292,Sharpedo,44,Water
293,Dodrio,42,Normal
293,Kadabra,42,Psychic
293,Electrode,42,Electric
293,Shiftry,42,Grass
294,Graveler,33,Rock
294,Ludicolo,33,Water
295,Mawile,29,Steel
295,Roselia,29,Grass
295,Pelipper,29,Water
296,Electrike,17,Electric
296,Wailmer,17,Water
296,Makuhita,17,Fighting
297,Electrike,26,Electric
297,Wailmer,26,Water
297,Makuhita,26,Fighting
298,Manectric,29,Electric
298,Wailmer,29,Water
298,Makuhita,29,Fighting
299,Manectric,32,Electric
299,Wailmer,32,Water
299,Makuhita,32,Fighting
300,Manectric,35,Electric
300,Wailmer,35,Water
300,Hariyama,35,Fighting
301,Smeargle,60,Normal
302,Smeargle,30,Normal
303,Wailord,57,Water
303,Vileplume,57,Grass
304,Armaldo,47,Rock
304,Cradily,47,Rock
305,Armaldo,56,Rock
305,Cradily,56,Rock
306,Carvanha,21,Water
306,Numel,21,Fire
307,Sandslash,46,Ground
307,Ninetales,46,Fire
308,Weepinbell,24,Grass
308,Gloom,24,Grass
308,Ivysaur,24,Grass
309,Nidorino,39,Poison
309,Nidoking,39,Poison
310,Sandslash,39,Ground
310,Dugtrio,39,Ground
311,Rhyhorn,43,Ground
312,Persian,44,Normal
312,Ninetales,44,Fire
313,Ivysaur,42,Grass
313,Wartortle,42,Water
313,Charmeleon,42,Fire
313,Charizard,42,Fire
314,Exeggutor,43,Grass
314,Cloyster,43,Water
314,Arcanine,43,Fire
315,Parasect,43,Bug
315,Dewgong,43,Water
315,Chansey,43,Normal
316,Kingler,43,Water
316,Tentacruel,43,Water
316,Blastoise,43,Water
317,Bellsprout,43,Grass
317,Weepinbell,43,Grass
317,Victreebel,43,Grass
318,Ivysaur,24,Grass
318,Charmeleon,24,Fire
318,Wartortle,24,Water
319,Charmeleon,27,Fire
320,Rapidash,36,Fire
321,Rapidash,39,Fire
322,Rapidash,43,Fire
323,Magneton,33,Electric
323,Quagsire,31,Water
323,Exeggcute,31,Grass
324,Sandslash,35,Ground
325,Horsea,33,Water
325,Horsea,33,Water
325,Horsea,33,Water
326,Electrode,35,Electric
326,Starmie,35,Water
326,Ninetales,35,Fire
327,Horsea,34,Water
327,Seadra,36,Water
328,Butterfree,25,Bug
328,Bellossom,25,Grass
329,Dragonair,37,Dragon
330,Poliwhirl,28,Water
331,Seadra,37,Water
332,Victreebel,32,Grass
332,Kingler,32,Water
332,Flareon,32,Fire
333,Victreebel,35,Grass
333,Kingler,35,Water
333,Flareon,35,Fire
334,Victreebel,39,Grass
334,Kingler,39,Water
334,Flareon,39,Fire
335,Eevee,26,Normal
335,Vaporeon,22,Water
335,Jolteon,22,Electric
335,Flareon,22,Fire
336,Goldeen,22,Water
336,Seaking,24,Water
337,Parasect,33,Bug
337,Golduck,35,Water
338,Staryu,24,Water
338,Starmie,26,Water
339,Pikachu,36,Electric
339,Blastoise,32,Water
340,Shellder,26,Water
340,Cloyster,28,Water
341,Marill,27,Water
341,Wartortle,24,Water
341,Wartortle,24,Water
342,Rhyhorn,38,Ground
342,Charmeleon,35,Fire
342,Wartortle,35,Water
343,Skiploom,25,Grass
343,Ninetales,25,Fire
344,Dratini,34,Dragon
344,Dragonair,36,Dragon
345,Bulbasaur,32,Grass
345,Ivysaur,32,Grass
345,Venusaur,32,Grass
346,Dragonair,37,Dragon
347,Charmander,26,Fire
347,Bulbasaur,26,Grass
347,Squirtle,26,Water
348,Dratini,34,Dragon
348,Dratini,34,Dragon
348,Dratini,34,Dragon
349,Ivysaur,38,Grass
349,Starmie,38,Water
350,Starmie,31,Water
350,Starmie,31,Water
350,Nidoqueen,33,Poison
351,Starmie,34,Water
351,Starmie,34,Water
351,Nidoqueen,36,Poison
352,Starmie,37,Water
352,Starmie,37,Water
352,Nidoqueen,39,Poison
353,Pidgeot,25,Normal
353,Electabuzz,27,Electric
354,Flareon,35,Fire
354,Tangela,35,Grass
354,Tauros,35,Normal
355,Manectric,43,Electric
355,Muk,43,Poison
356,Gloom,35,Grass
356,Azumarill,35,Water
357,Zangoose,27,Normal
358,Wingull,18,Water
358,Numel,18,Fire
358,Roselia,18,Grass
359,Wingull,26,Water
359,Numel,26,Fire
359,Roselia,26,Grass
360,Pelipper,29,Water
360,Numel,29,Fire
360,Roselia,29,Grass
361,Pelipper,32,Water
361,Numel,32,Fire
361,Roselia,32,Grass
362,Pelipper,35,Water
362,Camerupt,35,Fire
362,Roselia,35,Grass
363,Mawile,43,Steel
363,Sableye,43,Dark
364,Swellow,29,Normal
364,Trapinch,29,Ground
364,Wailmer,29,Water
364,Magneton,29,Electric
364,Shiftry,29,Grass
365,Cacturne,44,Grass
366,Lairon,45,Steel
366,Manectric,45,Electric
367,Linoone,27,Normal
368,Roselia,44,Grass
369,Milotic,31,Water
370,Zangoose,27,Normal
371,Sandslash,43,Ground
371,Ninetales,43,Fire
372,Mawile,46,Steel
372,Starmie,46,Water
373,Linoone,27,Normal
374,Delcatty,27,Normal
375,Nosepass,42,Rock
375,Medicham,42,Fighting
375,Ludicolo,42,Water
376,Kecleon,42,Normal
376,Rhyhorn,42,Ground
376,Tentacruel,42,Water
377,Linoone,27,Normal
378,Delcatty,27,Normal
379,Shiftry,34,Grass
379,Graveler,34,Rock
379,Loudred,34,Normal
380,Dodrio,42,Normal
380,Lairon,42,Steel
380,Kadabra,42,Psychic
381,Claydol,44,Ground
382,Sableye,44,Dark
382,Medicham,44,Fighting
382,Sharpedo,44,Water
383,Swellow,42,Normal
383,Kadabra,42,Psychic
383,Manectric,42,Electric
383,Shiftry,42,Grass
384,Graveler,34,Rock
384,Magcargo,34,Fire
384,Ludicolo,34,Water
385,Mawile,31,Steel
385,Roselia,31,Grass
385,Pelipper,31,Water
386,Electrike,18,Electric
386,Wailmer,18,Water
386,Makuhita,18,Fighting
387,Electrike,26,Electric
387,Wailmer,26,Water
387,Makuhita,26,Fighting
388,Manectric,29,Electric
388,Wailmer,29,Water
388,Makuhita,29,Fighting
389,Manectric,32,Electric
389,Wailmer,32,Water
389,Makuhita,32,Fighting
390,Manectric,35,Electric
390,Wailmer,35,Water
390,Hariyama,35,Fighting
391,Kecleon,24,Normal
392,Magneton,43,Electric
392,Muk,43,Poison
393,Gloom,34,Grass
393,Azumarill,34,Water
394,Wigglytuff,26,Normal
395,Manectric,32,Electric
395,Linoone,32,Normal
396,Vigoroth,26,Normal
397,Swellow,28,Normal
397,Trapinch,28,Ground
397,Wailmer,28,Water
397,Magneton,28,Electric
397,Shiftry,28,Grass
398,Wingull,17,Water
398,Numel,17,Fire
398,Roselia,17,Grass
399,Wingull,26,Water
399,Numel,26,Fire
399,Roselia,26,Grass
400,Pelipper,29,Water
400,Numel,29,Fire
400,Roselia,29,Grass
401,Pelipper,32,Water
401,Numel,32,Fire
401,Roselia,32,Grass
402,Pelipper,34,Water
402,Camerupt,34,Fire
402,Roselia,34,Grass
403,Manectric,24,Electric
403,Swellow,24,Normal
403,Manectric,24,Electric
404,Skarmory,43,Steel
404,Sableye,43,Dark
405,Loudred,29,Normal
405,Vigoroth,29,Normal
406,Loudred,35,Normal
406,Vigoroth,35,Normal
407,Spinda,37,Normal
407,Loudred,37,Normal
407,Vigoroth,37,Normal
408,Spinda,39,Normal
408,Loudred,39,Normal
408,Vigoroth,39,Normal
409,Spinda,41,Normal
409,Exploud,41,Normal
409,Slaking,41,Normal
410,Pelipper,33,Water
410,Camerupt,33,Fire
411,Claydol,43,Ground
411,Lanturn,43,Water
412,Cacturne,43,Grass
412,Pelipper,43,Water
413,Medicham,43,Fighting
413,Claydol,43,Ground
414,Slakoth,26,Normal
415,Kecleon,23,Normal
416,Sableye,43,Dark
416,Absol,43,Dark
417,Roselia,45,Grass
418,Absol,27,Dark
419,Sableye,30,Dark
420,Zangoose,26,Normal
421,Kecleon,33,Normal
421,Loudred,33,Normal
422,Sandslash,42,Ground
422,Ninetales,42,Fire
422,Tropius,42,Grass
423,Gardevoir,43,Psychic
423,Slaking,43,Normal
424,Lairon,45,Steel
424,Manectric,45,Electric
425,Manectric,30,Electric
426,Mawile,46,Steel
426,Starmie,46,Water
427,Manectric,29,Electric
427,Shiftry,29,Grass
428,Manectric,34,Electric
429,Delcatty,26,Normal
430,Torkoal,42,Fire
430,Medicham,42,Fighting
430,Ludicolo,42,Water
431,Lunatone,43,Rock
431,Solrock,43,Rock
432,Kecleon,42,Normal
432,Graveler,42,Rock
432,Wailord,42,Water
433,Spinda,26,Normal
434,Slaking,43,Normal
434,Dusclops,43,Ghost
435,Swellow,26,Normal
436,Shiftry,34,Grass
436,Nosepass,34,Rock
437,Swellow,42,Normal
437,Mawile,42,Steel
437,Kadabra,42,Psychic
438,Claydol,45,Ground
439,Sableye,44,Dark
439,Medicham,44,Fighting
439,Sharpedo,44,Water
440,Dodrio,42,Normal
440,Kadabra,42,Psychic
440,Electrode,42,Electric
440,Shiftry,42,Grass
441,Graveler,33,Rock
441,Ludicolo,33,Water
442,Mawile,29,Steel
442,Roselia,29,Grass
442,Pelipper,29,Water
443,Electrike,17,Electric
443,Wailmer,17,Water
443,Makuhita,17,Fighting
444,Electrike,26,Electric
444,Wailmer,26,Water
444,Makuhita,26,Fighting
445,Manectric,29,Electric
445,Wailmer,29,Water
445,Makuhita,29,Fighting
446,Manectric,32,Electric
446,Wailmer,32,Water
446,Makuhita,32,Fighting
447,Manectric,35,Electric
447,Wailmer,35,Water
447,Hariyama,35,Fighting
448,Smeargle,60,Normal
449,Smeargle,30,Normal
450,Wailord,57,Water
450,Vileplume,57,Grass
451,Armaldo,47,Rock
451,Cradily,47,Rock
452,Armaldo,56,Rock
452,Cradily,56,Rock
453,Carvanha,21,Water
453,Numel,21,Fire
454,Sandslash,46,Ground
454,Ninetales,46,Fire
455,Weepinbell,24,Grass
455,Gloom,24,Grass
455,Ivysaur,24,Grass
456,Nidorino,39,Poison
456,Nidoking,39,Poison
457,Sandslash,39,Ground
457,Dugtrio,39,Ground
458,Rhyhorn,43,Ground
459,Persian,44,Normal
459,Ninetales,44,Fire
460,Ivysaur,42,Grass
460,Wartortle,42,Water
460,Charmeleon,42,Fire
460,Charizard,42,Fire
461,Exeggutor,43,Grass
461,Cloyster,43,Water
461,Arcanine,43,Fire
462,Parasect,43,Bug
462,Dewgong,43,Water
462,Chansey,43,Normal
463,Kingler,43,Water
463,Tentacruel,43,Water
463,Blastoise,43,Water
464,Bellsprout,43,Grass
464,Weepinbell,43,Grass
464,Victreebel,43,Grass
465,Ivysaur,24,Grass
465,Charmeleon,24,Fire
465,Wartortle,24,Water
466,Charmeleon,27,Fire
